所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
半导体材料,688797,臻宝科技,59.0,绿,无质押,274.0,12.34,3.532,17.97,24.5,171.67,14.54,425.49541104,9,8.46,46.7283564718,483528515.21,31.9778888209,107114333.87,25.74,0.88209423131,12.4885935569,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 16, '股东回报': 3, '估值': 1, '资金共振': 10.0, '治理面调整': 0}"
半导体材料,688809,强一股份,51.0,绿,无质押,529.5,1.05,0.094,1.43,4.77,143.08,16.48,686.0164935,4,5.35,63.2227160022,624146448.78,66.7048399187,222408112.17,61.3,1.647043752938,7.5251825058,,10转4股,"{'分红年数': 1, '累计每10股派现': 10.0}","{'矛_盈利': 27, '盾_健康': 16, '股东回报': 4, '估值': 1, '资金共振': 3, '治理面调整': 0}"
半导体材料,688727,恒坤新材,47.4,绿,无质押,44.8,1.36,0.05,4.54,4.58,143.5,7.78,201.2951808,15,3.3,52.4577086402,341381137.61,15.9829870372,84080210.24,102.11,0.051813436939,32.0399237945,,不分配不转增,,"{'矛_盈利': 20, '盾_健康': 15, '股东回报': 3, '估值': 4, '资金共振': 5.4, '治理面调整': 0}"
半导体材料,688138,清溢光电,47.0,绿,无质押、近一年有回购,36.69,2.34,0.098,3.2,2.65,54.17,4.03,115.50012,21,4.16,32.6444156577,653612607.06,5.0773056968,117952067.06,28.16,0.84666244676,32.7691449892,0.327064595258,10派1.20元(含税),"{'分红年数': 7, '累计每10股派现': 8.6}","{'矛_盈利': 13, '盾_健康': 18, '股东回报': 8, '估值': 2, '资金共振': 3, '治理面调整': 3}"
半导体材料,002409,雅克科技,41.0,红,无质押、近半年股东累计减持3.2%,133.17,3.62,0.81,3.87,4.95,61.03,8.09,633.79288879,6,7.07,29.8713460085,4512986271.44,5.1243028951,560905882.4,7.29,0.535411686248,33.1572791267,0.262821956897,"10派3.50元(含税,扣税后3.15元)","{'分红年数': 16, '累计每10股派现': 37.84}","{'矛_盈利': 16, '盾_健康': 19, '股东回报': 8, '估值': 1, '资金共振': 3, '治理面调整': -6}"
半导体材料,688720,艾森股份,41.0,黄,无质押、近一年有回购、近半年小幅减持2.5%,60.48,1.96,0.146,7.22,4.26,131.76,7.07,74.17145091,26,2.1,28.3989234854,346053290.79,23.6377418352,21835909.3,30.12,0.181013250293,24.2807766474,,不分配不转增,"{'分红年数': 2, '累计每10股派现': 3.05}","{'矛_盈利': 14, '盾_健康': 15, '股东回报': 4, '估值': 2, '资金共振': 5, '治理面调整': 1}"
半导体设备,301717,超纯应材,61.5,绿,无质押,346.16,4.11,0.479,3.46,22.76,148.55,13.95,352.55064669,13,12.51,57.533010036,306202649.8,48.4084715048,114112055.71,85.46,2.053212035827,22.0064562811,,不分配不转增,,"{'矛_盈利': 33, '盾_健康': 18, '股东回报': 3, '估值': 1, '资金共振': 6.5, '治理面调整': 0}"
半导体设备,688082,盛美上海,53.0,绿,无质押、近一年有回购,277.17,2.48,0.473,3.94,0.9,79.63,9.13,1345.01264251,5,7.06,46.858347291,3718097074.64,13.8672209019,988949356.41,42.14,0.182482318668,29.5539585733,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 22.72}","{'矛_盈利': 24, '盾_健康': 16, '股东回报': 6, '估值': 1, '资金共振': 3, '治理面调整': 3}"
半导体设备,688419,耐科装备,48.0,绿,无质押、近一年有回购,48.64,3.71,0.259,15.0,3.1,63.38,5.35,55.7179318,23,4.7,39.5391882274,186991839.88,33.112740805,49232876.0,18.2,0.249908085058,17.9689882904,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 14.0}","{'矛_盈利': 18, '盾_健康': 13, '股东回报': 6, '估值': 2, '资金共振': 6, '治理面调整': 3}"
半导体设备,688120,华海清科,47.0,黄,无质押、近一年有回购、近半年小幅减持2.8%,255.5,8.64,1.68,6.12,2.19,111.08,15.93,1267.99907409,6,7.24,42.9901302629,2643200448.43,35.5771025806,563222966.61,11.44,0.148186881195,45.0728298366,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 20.0}","{'矛_盈利': 24, '盾_健康': 12, '股东回报': 6, '估值': 1, '资金共振': 3, '治理面调整': 1}"
