所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
数字芯片设计,688825,长鑫科技,70.8,绿,无质押,55.54,3.87,7.009,4.85,5.83,46.08,19.6,37702.82862737,1,81.06,84.7418874692,150310076758.0,873.6417332025,77605227520.0,3427.7569143657,2.178926243106,42.1572589135,,不分配不转增,,"{'矛_盈利': 34, '盾_健康': 18, '股东回报': 3, '估值': 7, '资金共振': 8.8, '治理面调整': 0}"
数字芯片设计,688449,联芸科技,65.0,绿,无质押,65.2,4.07,0.023,0.37,3.2,49.53,12.33,299.92,27,23.84,49.8526212346,854109397.31,40.0818953052,519551700.5,825.54,0.292810378674,19.0096579657,,不分配不转增,"{'分红年数': 1, '累计每10股派现': 0.5}","{'矛_盈利': 36, '盾_健康': 15, '股东回报': 4, '估值': 7, '资金共振': 3, '治理面调整': 0}"
数字芯片设计,920138,杰理科技,58.0,绿,无质押,35.29,8.99,0.291,11.53,21.16,24.9,2.92,152.7898195,37,6.95,32.2557392997,1457545207.23,6.1604380933,311164520.27,6.18,0.726664334113,9.3919294318,,不分配不转增,"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 24, '盾_健康': 18, '股东回报': 3, '估值': 9, '资金共振': 4, '治理面调整': 0}"
数字芯片设计,688380,中微半导,56.0,绿,无质押、近一年有回购,41.33,4.34,0.254,4.16,3.69,44.8,5.13,165.4708545,35,5.26,38.746032871,725773748.57,44.0139092508,171622263.44,98.48,0.482644456084,14.8413264264,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 12.5}","{'矛_盈利': 21, '盾_健康': 15, '股东回报': 6, '估值': 8, '资金共振': 3, '治理面调整': 3}"
数字芯片设计,300458,全志科技,53.0,红,无质押、近半年股东累计减持4.3%,31.27,4.48,1.486,10.7,5.51,52.56,8.92,310.71039903,26,14.78,43.1213120404,1888442625.74,41.233970607,490211272.38,204.17,0.226616493147,19.1458925937,,不分配不转增,"{'分红年数': 11, '累计每10股派现': 27.76}","{'矛_盈利': 27, '盾_健康': 15, '股东回报': 6, '估值': 5, '资金共振': 6, '治理面调整': -6}"
数字芯片设计,688049,炬芯科技,50.0,黄,无质押、近一年有回购、近半年小幅减持1.5%,41.8,4.47,0.027,0.82,4.55,33.14,3.48,73.57467295,47,5.2,48.7073290282,576355052.66,28.329726777,108800920.32,19.07,0.063654424832,14.4414602932,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 9.9}","{'矛_盈利': 21, '盾_健康': 13, '股东回报': 6, '估值': 6, '资金共振': 3, '治理面调整': 1}"
数字芯片设计,603501,豪威集团,36.0,红,质押21%、近一年有回购、近半年股东累计减持4.3%,81.27,3.37,1.771,13.1,1.39,31.58,3.15,1022.2125687,12,3.73,28.7771546834,14024560916.08,0.4925959227,1219762603.08,-39.85,0.323365797213,34.860098935,,不分配不转增,"{'分红年数': 9, '累计每10股派现': 22.74}","{'矛_盈利': 10, '盾_健康': 14, '股东回报': 6, '估值': 6, '资金共振': 6, '治理面调整': -6}"
数字芯片设计,688259,创耀科技,36.0,黄,无质押、近一年有回购、近半年小幅减持1.3%,31.92,2.14,0.026,6.18,1.18,60.59,2.26,35.65464,53,0.76,27.9993196507,166683436.32,-9.0211872667,11753858.77,-63.16,0.409135670367,8.8226910294,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 13.55}","{'矛_盈利': 8, '盾_健康': 12, '股东回报': 6, '估值': 4, '资金共振': 5, '治理面调整': 1}"
机械设备,688257,新锐股份,72.0,绿,质押2%低、近一年有回购,58.2,6.46,1.382,12.7,5.37,29.95,7.19,206.76322838,35,21.51,49.1420313319,2057232334.56,80.3947563439,565140212.86,460.51,0.24312898221,49.1890036174,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 20.5}","{'矛_盈利': 34, '盾_健康': 14, '股东回报': 6, '估值': 11, '资金共振': 4, '治理面调整': 3}"
机械设备,920093,信胜科技,70.0,绿,无质押,19.52,5.63,0.089,11.97,15.25,10.69,2.27,27.5232,99,17.32,27.4955844519,821718473.07,25.4122547966,122665633.51,39.64,1.368495230952,46.9862316886,,,"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 33, '盾_健康': 16, '股东回报': 0, '估值': 15, '资金共振': 6, '治理面调整': 0}"
机械设备,688808,联讯仪器,67.2,绿,无质押,2468.0,4.09,0.086,0.38,4.87,370.31,74.8,2533.81334156,1,31.1,70.7942535034,1531149021.62,208.7055946128,567133423.76,903.0,5.342234209571,38.7653978088,,10转4.80股,,"{'矛_盈利': 38, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 3.2, '治理面调整': 0}"
机械设备,603298,杭叉集团,66.0,绿,无质押、近一年有回购,23.52,0.0,0.082,8.85,0.3,13.45,2.53,308.06779392,26,10.02,24.9058947166,10100128374.7,8.6486443972,1214529518.5,8.89,0.291810386705,38.7423886707,,不分配不转增,"{'分红年数': 10, '累计每10股派现': 40.5}","{'矛_盈利': 24, '盾_健康': 17, '股东回报': 6, '估值': 11, '资金共振': 5, '治理面调整': 3}"
机械设备,002444,巨星科技,63.0,绿,无质押、近一年有回购,27.97,3.44,0.258,6.93,1.17,13.15,1.74,334.09554751,24,6.85,33.3191018267,7674605023.56,9.2082125729,1304695812.0,2.5,0.754078740511,24.6077627341,1.072577761888,10派3.00元(含税),"{'分红年数': 11, '累计每10股派现': 35.31}","{'矛_盈利': 16, '盾_健康': 17, '股东回报': 10, '估值': 12, '资金共振': 5, '治理面调整': 3}"
机械设备,301677,欣兴工具,61.5,绿,无质押,53.35,5.98,0.237,7.93,26.65,26.78,2.42,53.35,88,7.15,55.0938307877,262160970.23,7.2798370852,100039718.76,1.61,0.869777557067,12.9229386405,,不分配不转增,,"{'矛_盈利': 26, '盾_健康': 16, '股东回报': 3, '估值': 9, '资金共振': 7.5, '治理面调整': 0}"
机械设备,603638,艾迪精密,59.0,绿,质押8%低、近一年有回购,18.31,2.29,0.084,6.67,0.79,32.75,3.41,161.25508037,46,7.96,28.6578492491,2261958709.31,44.2065334804,305737218.01,47.71,0.0654234006,35.5856200689,,不分配不转增,"{'分红年数': 10, '累计每10股派现': 17.7}","{'矛_盈利': 19, '盾_健康': 16, '股东回报': 6, '估值': 10, '资金共振': 5, '治理面调整': 3}"
机械设备,300124,汇川技术,56.0,黄,质押2%低、近一年有回购、近半年多笔零星减持,52.45,1.67,1.9,9.72,1.55,29.06,3.85,1421.15388892,4,7.69,29.7416847059,24675250997.63,20.3121582778,2809924122.46,-5.35,0.729430692143,48.035175277,,不分配不转增,"{'分红年数': 16, '累计每10股派现': 77.29}","{'矛_盈利': 19, '盾_健康': 15, '股东回报': 6, '估值': 9, '资金共振': 5, '治理面调整': 2}"
机械设备,688630,芯碁微装,54.0,红,无质押、近一年有回购、近半年股东累计减持4.5%,439.83,2.0,1.725,8.8,3.4,150.1,12.27,644.3734517,12,11.62,43.0430986217,1105502942.02,68.951037133,281409728.1,98.13,2.01636539878,19.1133451189,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 20.7}","{'矛_盈利': 27, '盾_健康': 18, '股东回报': 6, '估值': 1, '资金共振': 5, '治理面调整': -3}"
机械设备,001237,惠康科技,52.0,绿,无质押,52.59,4.57,0.081,4.61,9.72,21.18,2.29,78.01801704,73,10.11,25.6095296527,1535486515.07,10.5400429411,182569260.39,-11.12,0.278703746098,35.5115943338,0.950751093364,10派5.00元(含税),,"{'矛_盈利': 23, '盾_健康': 12, '股东回报': 5, '估值': 9, '资金共振': 3.0, '治理面调整': 0}"
机械设备,688836,宇树科技-W,51.7,绿,无质押,514.98,2.33,0.267,1.04,16.95,356.52,23.68,2082.91045813,2,9.99,56.0089333697,1152245550.58,48.5389986228,273999911.92,955.5945828766,0.636082168332,25.1070683876,,,,"{'矛_盈利': 23, '盾_健康': 18, '股东回报': 0, '估值': 5, '资金共振': 5.7, '治理面调整': 0}"
