所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
医疗研发外包,688796,百奥赛图,64.1,绿,无质押,126.58,0.06,0.253,6.64,7.71,154.43,23.36,565.68402004,4,10.49,79.2966453083,941388593.84,51.6013388674,241094391.65,402.29,0.585278608034,33.3934502887,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 9.1, '治理面调整': 0}"
医药生物,688796,百奥赛图,64.4,绿,无质押,126.58,0.06,0.253,6.64,7.71,154.43,23.36,565.68402004,7,10.49,79.2966453083,941388593.84,51.6013388674,241094391.65,402.29,0.585278608034,33.3934502887,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 9.4, '治理面调整': 0}"
医药生物,301087,可孚医疗,58.0,黄,质押4%低、近一年有回购、近半年小幅减持1.0%,53.28,2.98,0.199,13.76,1.4,30.92,2.27,125.6859216,34,4.0,55.8878631902,2071847991.36,38.5143639768,202263774.19,20.84,1.112397850291,25.4072706138,1.126126126126,10派6.00元(含税),"{'分红年数': 5, '累计每10股派现': 76.0}","{'矛_盈利': 16, '盾_健康': 17, '股东回报': 10, '估值': 8, '资金共振': 6, '治理面调整': 1}"
医药生物,300357,我武生物,57.0,黄,无质押、近半年小幅减持2.5%,19.25,1.21,0.102,7.83,1.4,24.15,3.66,100.78992,42,7.87,95.2927573656,514164898.85,6.1805311763,213451780.13,20.59,0.361943543615,7.7094343861,,不分配不转增,"{'分红年数': 13, '累计每10股派现': 32.46}","{'矛_盈利': 22, '盾_健康': 15, '股东回报': 6, '估值': 11, '资金共振': 5, '治理面调整': -2}"
医药生物,688235,百济神州,52.3,绿,无质押,255.41,1.21,0.083,1.34,2.12,92.0,11.12,3939.15058079,2,9.9,89.4529871532,22219533000.0,26.8363500983,3270593000.0,627.15,2.879539365357,43.3169410467,,不分配不转增,,"{'矛_盈利': 21, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 5.3, '治理面调整': 0}"
医药生物,301507,民生健康,52.0,绿,无质押、近一年有回购,11.84,1.63,0.074,21.99,0.8,35.24,2.62,42.21603267,85,5.12,55.1650852813,535359197.26,15.7572746968,83394343.02,1.2,0.382899560272,17.677711633,,不分配不转增,"{'分红年数': 3, '累计每10股派现': 3.5}","{'矛_盈利': 18, '盾_健康': 13, '股东回报': 6, '估值': 6, '资金共振': 6, '治理面调整': 3}"
医药生物,688758,赛分科技,47.0,红,无质押、近一年有回购、近半年股东累计减持4.2%,31.18,4.74,0.161,4.11,4.24,70.76,9.36,129.85350139,29,7.97,75.3193909379,279738112.89,53.1696185826,110638217.52,106.19,0.207217372891,11.8155485123,,不分配不转增,"{'分红年数': 2, '累计每10股派现': 1.37}","{'矛_盈利': 23, '盾_健康': 15, '股东回报': 4, '估值': 5, '资金共振': 3, '治理面调整': -3}"
医药生物,600436,片仔癀,46.0,红,质押10%低、近半年股东累计减持4.4%,117.84,1.06,0.125,5.46,0.32,39.29,4.87,710.94900026,5,7.26,39.8280258643,4572843621.56,-14.979788971,1092974060.35,-24.22,2.692687437841,18.1795993173,0.908010862186,10派10.70元(含税),"{'分红年数': 23, '累计每10股派现': 214.2}","{'矛_盈利': 19, '盾_健康': 16, '股东回报': 8, '估值': 4, '资金共振': 5, '治理面调整': -6}"
医药生物,002294,信立泰,43.0,红,质押15%低、近一年有回购、近半年股东累计减持4.4%,30.19,1.38,0.151,5.41,0.83,49.97,3.93,336.56311192,10,4.3,75.0892939834,2479135760.18,16.3384970648,387091726.75,6.03,0.418318685433,21.5235822776,,不分配不转增,"{'分红年数': 16, '累计每10股派现': 99.0}","{'矛_盈利': 15, '盾_健康': 14, '股东回报': 6, '估值': 6, '资金共振': 5, '治理面调整': -3}"
医药生物,688799,华纳药厂,38.0,黄,无质押、近半年小幅减持1.4%,52.51,5.44,0.094,4.59,2.92,30.28,3.3,70.1727887,53,3.11,56.519609596,660691577.24,-7.4288324696,64599830.0,-9.16,1.247670823574,38.2427968515,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 32.79}","{'矛_盈利': 10, '盾_健康': 15, '股东回报': 6, '估值': 6, '资金共振': 3, '治理面调整': -2}"
医药生物,600488,津药药业,32.0,绿,无质押,5.99,-0.5,0.063,0.76,12.61,101.51,2.16,65.40401213,59,1.41,41.4660927615,1313057171.63,-17.3333214363,43173512.75,-12.43,0.175639383072,33.1343857278,,不分配不转增,"{'分红年数': 24, '累计每10股派现': 12.28}","{'矛_盈利': 8, '盾_健康': 12, '股东回报': 6, '估值': 4, '资金共振': 2, '治理面调整': 0}"
医药生物,301093,华兰股份,31.0,绿,无质押、近一年有回购,59.39,-0.98,0.13,4.99,2.13,524.87,5.8,126.57872242,31,0.35,39.0163562996,298040287.84,-3.472410136,7672587.23,-82.46,0.136316823247,15.2973386744,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 18.5}","{'矛_盈利': 6, '盾_健康': 12, '股东回报': 6, '估值': 2, '资金共振': 2, '治理面调整': 3}"
医药生物,600518,康美药业,28.0,绿,质押3%低,1.34,0.75,0.039,2.59,0.82,628.98,2.53,185.30721565,20,0.49,21.3007076789,2290489817.26,-11.1316676928,36034782.6,113.21,0.002607065793,43.6605933173,,不分配不转增,"{'分红年数': 19, '累计每10股派现': 25.26}","{'矛_盈利': 4, '盾_健康': 11, '股东回报': 6, '估值': 4, '资金共振': 3, '治理面调整': 0}"
