所属板块,代码,名称,总分,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,评分明细
国防军工,300395,菲利华,55.9,98.01,2.85,1.73,10.16,3.43,99.81,9.84,515.26511307,11,6.1,50.1135854681,1307833466.33,44.0592363283,294779713.29,32.95,0.259175212016,20.9554552744,0.17840277049,10派1.70元(含税),"{'矛_盈利': 25, '盾_健康': 13, '股东回报': 5, '估值': 1, '资金共振': 11.9}"
国防军工,600862,中航高科,53.2,19.07,2.69,0.486,14.16,1.3,30.72,3.4,265.6544647,15,5.47,35.4934777332,2363792754.51,-13.9650070458,439023700.82,-27.44,0.985104840751,25.9844005118,,不分配不转增,"{'矛_盈利': 17, '盾_健康': 16, '股东回报': 3, '估值': 6, '资金共振': 11.2}"
国防军工,300008,天海防务,47.4,6.58,2.97,0.563,9.44,5.51,31.99,4.45,113.70431695,41,7.29,21.2583267307,2235174192.91,21.268399712,182603314.02,45.46,0.032519888436,61.449961162,,不分配不转增,"{'矛_盈利': 15, '盾_健康': 11, '股东回报': 3, '估值': 8, '资金共振': 10.4}"
国防军工,002179,中航光电,44.8,34.45,1.29,0.331,9.65,0.48,39.25,2.98,723.53484932,7,4.51,28.7688673418,11239609545.51,0.5018792499,1118877253.31,-22.13,0.130012524222,37.3416039464,,不分配不转增,"{'矛_盈利': 12, '盾_健康': 14, '股东回报': 3, '估值': 6, '资金共振': 9.8}"
国防军工,688511,天微电子,36.0,22.94,0.48,0.002,1.11,0.66,383.6,3.75,30.66570682,91,0.2,41.0078534788,29527425.39,-64.8520119438,1632496.78,-94.12,0.602723746789,12.2129559733,,不分配不转增,"{'矛_盈利': 10, '盾_健康': 15, '股东回报': 3, '估值': 4, '资金共振': 4.0}"
国防军工,300922,天秦装备,35.9,20.03,1.32,0.11,4.14,10.66,92.15,3.26,32.21873171,88,0.91,35.0633564639,54646567.05,-50.6294598772,8977726.3,-45.12,0.265919932798,14.2193565808,,不分配不转增,"{'矛_盈利': 10, '盾_健康': 12, '股东回报': 3, '估值': 4, '资金共振': 6.9}"
国防军工,600760,中航沈飞,35.7,49.07,2.0,0.709,9.37,0.55,48.74,5.94,1391.09987179,4,1.99,10.5940972272,6191107217.36,-57.677299967,473065863.24,-58.37,0.2016895763,63.1103253427,,不分配不转增,"{'矛_盈利': 10, '盾_健康': 8, '股东回报': 3, '估值': 4, '资金共振': 10.7}"
国防军工,000738,航发控制,35.5,20.0,0.25,0.225,6.55,1.3,108.32,2.09,263.0368002,17,1.73,24.3421710231,2759291909.92,0.8684895854,216908976.35,-29.69,0.419428097118,18.1329866645,,不分配不转增,"{'矛_盈利': 6, '盾_健康': 13, '股东回报': 3, '估值': 4, '资金共振': 9.5}"
国防军工,600316,洪都航空,34.9,34.61,6.59,0.348,5.53,2.58,523.54,4.61,248.1933326,20,0.22,2.2768520141,2742439101.59,79.9664136229,12094703.1,171.93,1.352830605219,64.7460681821,,不分配不转增,"{'矛_盈利': 8, '盾_健康': 14, '股东回报': 3, '估值': 2, '资金共振': 7.9}"
国防军工,688510,航亚科技,31.2,27.19,5.14,0.005,0.2,3.43,76.8,5.81,70.67295712,59,4.18,37.5861936874,373581798.3,1.1388521784,51303536.31,-16.19,0.276274621021,35.8640666465,,不分配不转增,"{'矛_盈利': 10, '盾_健康': 12, '股东回报': 3, '估值': 2, '资金共振': 4.2}"
国防军工,600391,航发科技,29.6,41.8,1.48,0.7,8.94,5.58,243.34,7.71,137.99407541,32,0.34,16.7083175896,1702736784.09,2.6534843846,6046066.02,-40.81,0.672235498577,64.2853831508,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 10, '股东回报': 3, '估值': 2, '资金共振': 10.6}"
激光设备,688025,杰普特,54.2,399.7,1.69,0.539,8.18,1.7,100.24,14.88,379.91254373,3,8.02,40.8046253294,1487018408.21,68.8631400537,195410242.22,105.25,0.701530167837,40.0076826617,,不分配不转增,"{'矛_盈利': 21, '盾_健康': 16, '股东回报': 3, '估值': 5, '资金共振': 9.2}"
激光设备,300747,锐科激光,42.6,41.49,3.78,0.245,3.19,3.57,94.06,6.58,233.00784,4,4.55,24.7763958652,1909724518.91,14.7531331049,158991457.5,117.53,0.559064914797,33.3735536151,,不分配不转增,"{'矛_盈利': 9, '盾_健康': 18, '股东回报': 3, '估值': 6, '资金共振': 6.6}"
通信,300308,中际旭创,78.7,910.78,0.93,4.278,3.44,1.22,52.45,26.92,10728.1654283,1,37.62,46.2521843492,41777861795.03,182.4913813287,13651149693.27,241.7,1.613718553798,36.0816002584,0.132983144386,10派12.00元(含税),"{'矛_盈利': 40, '盾_健康': 20, '股东回报': 5, '估值': 5, '资金共振': 8.7}"
通信,300502,新易盛,74.5,417.69,0.31,2.413,3.06,1.48,44.39,23.97,5823.6707434,2,34.86,48.4397325072,20909746962.2,100.3392340098,7529168039.39,90.98,1.15933353069,33.2377726537,,不分配不转增,"{'矛_盈利': 38, '盾_健康': 18, '股东回报': 3, '估值': 7, '资金共振': 8.5}"
通信,601869,长飞光纤,67.9,443.0,6.27,9.935,14.06,3.87,106.54,22.75,3667.61962844,3,19.22,53.3612070059,9808962180.0,53.637732146,2924540887.0,888.88,2.205710646491,47.9486588194,0.25428811323,10派10.60元(含税),"{'矛_盈利': 31, '盾_健康': 17, '股东回报': 5, '估值': 5, '资金共振': 9.9}"
通信,600105,永鼎股份,51.9,41.29,5.57,8.4,15.88,8.76,144.22,16.59,603.65765375,11,14.77,27.8880348234,3339017624.9,47.7515331414,503450137.78,58.06,0.23697454267,62.4326779984,0.089491178727,10派0.35元(含税),"{'矛_盈利': 23, '盾_健康': 11, '股东回报': 5, '估值': 1, '资金共振': 11.9}"
通信,003031,中瓷电子,51.1,120.09,1.13,0.045,0.61,1.81,79.63,8.51,541.66937837,13,6.02,32.0661051733,2210800974.23,54.762730201,402734141.25,41.22,0.960025399795,25.4896600591,0.155789473684,10派1.85元(含税),"{'矛_盈利': 21, '盾_健康': 17, '股东回报': 5, '估值': 1, '资金共振': 7.1}"
通信,300627,华测导航,50.0,27.76,0.47,0.011,1.38,0.46,31.85,5.02,220.40625577,21,7.63,60.6168320788,1928755092.43,5.2026590957,333157564.07,2.05,0.065500972895,27.2780456409,,不分配不转增,"{'矛_盈利': 24, '盾_健康': 13, '股东回报': 3, '估值': 4, '资金共振': 6.0}"
通信,688668,鼎通科技,47.3,265.03,0.03,0.02,0.27,1.94,119.49,17.58,369.10888708,16,8.93,33.9848257673,1029145854.96,31.1725087259,183763471.96,59.24,1.259584207597,40.2550817596,0.113224637681,10派3.00元(含税),"{'矛_盈利': 19, '盾_健康': 16, '股东回报': 5, '估值': 1, '资金共振': 6.3}"
通信,300414,中光防雷,36.4,11.27,1.17,0.069,8.27,2.34,195.92,3.68,36.74239382,69,1.21,24.4862619567,266833579.97,22.686790197,12047891.71,12.82,0.01931598704,19.5202922484,,不分配不转增,"{'矛_盈利': 7, '盾_健康': 13, '股东回报': 3, '估值': 4, '资金共振': 9.4}"
通信,300698,万马科技,34.0,26.87,1.13,0.041,6.44,1.95,74.86,6.54,36.0058,71,3.26,26.3287351414,408769586.81,20.5260924057,17517515.61,6.4,0.501966992388,55.5439610605,,不分配不转增,"{'矛_盈利': 9, '盾_健康': 11, '股东回报': 3, '估值': 2, '资金共振': 9.0}"
通信,688159,有方科技,32.3,34.09,0.62,0.019,3.03,1.99,82.45,3.2,31.63917445,78,7.98,23.2208258996,969707166.29,-42.041894889,74597426.4,17.36,1.181819845921,63.9784421874,,不分配不转增,"{'矛_盈利': 9, '盾_健康': 10, '股东回报': 3, '估值': 4, '资金共振': 6.3}"
通信,300563,神宇股份,32.0,24.35,4.24,0.365,14.9,7.83,71.47,3.94,44.35063076,57,1.86,17.0436818823,431306080.68,9.027884964,21509060.52,-35.69,0.268565247579,40.5601010254,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 10, '股东回报': 3, '估值': 4, '资金共振': 11.0}"
通信,300050,世纪鼎利,31.6,7.24,1.69,0.098,8.13,3.06,307.28,9.51,39.44690238,63,1.45,29.692500774,135958135.38,6.0824374174,5992492.39,-30.75,0.00639486227,29.2663762088,,不分配不转增,"{'矛_盈利': 6, '盾_健康': 12, '股东回报': 3, '估值': 1, '资金共振': 9.6}"
通信,600498,烽火通信,28.2,40.92,1.69,1.133,3.88,5.54,162.47,3.16,555.76213363,12,1.09,21.399646933,12376358422.88,11.3300147367,192799692.78,-32.72,0.374864216474,61.275714998,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 9, '股东回报': 3, '估值': 4, '资金共振': 8.2}"
通信,002897,意华股份,27.7,62.31,-3.09,0.157,2.32,5.74,46.98,4.28,120.80706168,29,3.53,18.7666515531,2863320150.75,-5.9724625807,100364975.19,-37.87,1.391794403606,57.5692298483,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 11, '股东回报': 3, '估值': 4, '资金共振': 5.7}"
通信线缆及配套,601869,长飞光纤,67.5,443.0,6.27,9.935,14.06,3.87,106.54,22.75,3667.61962844,1,19.22,53.3612070059,9808962180.0,53.637732146,2924540887.0,888.88,2.205710646491,47.9486588194,0.25428811323,10派10.60元(含税),"{'矛_盈利': 31, '盾_健康': 17, '股东回报': 5, '估值': 5, '资金共振': 9.5}"
通信线缆及配套,600105,永鼎股份,51.0,41.29,5.57,8.4,15.88,8.76,144.22,16.59,603.65765375,4,14.77,27.8880348234,3339017624.9,47.7515331414,503450137.78,58.06,0.23697454267,62.4326779984,0.089491178727,10派0.35元(含税),"{'矛_盈利': 23, '盾_健康': 11, '股东回报': 5, '估值': 1, '资金共振': 11.0}"
通信线缆及配套,300563,神宇股份,30.0,24.35,4.24,0.365,14.9,7.83,71.47,3.94,44.35063076,11,1.86,17.0436818823,431306080.68,9.027884964,21509060.52,-35.69,0.268565247579,40.5601010254,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 10, '股东回报': 3, '估值': 4, '资金共振': 9.0}"
通信网络设备及器件,300308,中际旭创,78.8,910.78,0.93,4.278,3.44,1.22,52.45,26.92,10728.1654283,1,37.62,46.2521843492,41777861795.03,182.4913813287,13651149693.27,241.7,1.613718553798,36.0816002584,0.132983144386,10派12.00元(含税),"{'矛_盈利': 40, '盾_健康': 20, '股东回报': 5, '估值': 5, '资金共振': 8.8}"
通信网络设备及器件,300502,新易盛,74.2,417.69,0.31,2.413,3.06,1.48,44.39,23.97,5823.6707434,2,34.86,48.4397325072,20909746962.2,100.3392340098,7529168039.39,90.98,1.15933353069,33.2377726537,,不分配不转增,"{'矛_盈利': 38, '盾_健康': 18, '股东回报': 3, '估值': 7, '资金共振': 8.2}"
通信网络设备及器件,688668,鼎通科技,47.2,265.03,0.03,0.02,0.27,1.94,119.49,17.58,369.10888708,15,8.93,33.9848257673,1029145854.96,31.1725087259,183763471.96,59.24,1.259584207597,40.2550817596,0.113224637681,10派3.00元(含税),"{'矛_盈利': 19, '盾_健康': 16, '股东回报': 5, '估值': 1, '资金共振': 6.2}"
通信网络设备及器件,300698,万马科技,33.7,26.87,1.13,0.041,6.44,1.95,74.86,6.54,36.0058,31,3.26,26.3287351414,408769586.81,20.5260924057,17517515.61,6.4,0.501966992388,55.5439610605,,不分配不转增,"{'矛_盈利': 9, '盾_健康': 11, '股东回报': 3, '估值': 2, '资金共振': 8.7}"
通信网络设备及器件,600498,烽火通信,27.8,40.92,1.69,1.133,3.88,5.54,162.47,3.16,555.76213363,10,1.09,21.399646933,12376358422.88,11.3300147367,192799692.78,-32.72,0.374864216474,61.275714998,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 9, '股东回报': 3, '估值': 4, '资金共振': 7.8}"
通信网络设备及器件,002897,意华股份,27.2,62.31,-3.09,0.157,2.32,5.74,46.98,4.28,120.80706168,21,3.53,18.7666515531,2863320150.75,-5.9724625807,100364975.19,-37.87,1.391794403606,57.5692298483,,不分配不转增,"{'矛_盈利': 4, '盾_健康': 11, '股东回报': 3, '估值': 4, '资金共振': 5.2}"
