所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
化学制剂,688266,泽璟制药-U,66.3,绿,无质押,119.37,6.77,0.59,8.62,2.19,57.47,18.37,315.98216163,10,45.7,94.6415800084,1205379571.43,220.8781295535,640011104.13,979.0933971189,3.054359312938,51.2090401913,,不分配不转增,,"{'矛_盈利': 34, '盾_健康': 16, '股东回报': 3, '估值': 5, '资金共振': 8.3, '治理面调整': 0}"
化学制剂,000513,丽珠集团,63.0,绿,质押3%低、近一年有回购,26.7,1.79,0.063,5.12,0.82,14.16,1.77,237.07121466,13,6.64,61.2759595777,4999669708.65,-20.2847681027,932199213.06,-27.23,1.985494421162,38.1229173962,3.820224719101,10派10.20元(含税),"{'分红年数': 27, '累计每10股派现': 170.6}","{'矛_盈利': 15, '盾_健康': 16, '股东回报': 12, '估值': 12, '资金共振': 5, '治理面调整': 3}"
化学制剂,000963,华东医药,62.0,黄,质押8%低、近半年多笔零星减持,26.76,2.53,0.246,5.12,1.03,13.56,1.89,469.29998052,7,7.31,32.7993291744,22066646185.69,1.8072364671,1860757262.42,2.53,1.425196450357,35.5100682884,1.338432122371,"10派3.50元(含税,扣税后3.15元)","{'分红年数': 22, '累计每10股派现': 106.35}","{'矛_盈利': 16, '盾_健康': 20, '股东回报': 10, '估值': 12, '资金共振': 5, '治理面调整': -1}"
化学制剂,603207,小方制药,60.0,绿,质押1%低,25.07,3.77,0.089,6.91,9.55,21.1,3.51,40.55913899,72,9.29,60.9002191992,281930889.08,4.5002545004,105550017.8,-12.64,0.60828588163,12.4999366143,1.55564419625,10派3.90元(含税),"{'分红年数': 2, '累计每10股派现': 25.7}","{'矛_盈利': 23, '盾_健康': 15, '股东回报': 8, '估值': 9, '资金共振': 5, '治理面调整': 0}"
化学制剂,920017,星昊医药,58.0,绿,无质押、近一年有回购,16.27,3.83,0.041,8.27,2.49,17.5,1.23,20.15731252,94,3.17,70.2865889226,314456566.52,2.0042819262,53240074.09,29.59,0.905658443278,17.5667612002,,不分配不转增,"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 15, '盾_健康': 18, '股东回报': 3, '估值': 14, '资金共振': 5, '治理面调整': 3}"
化学制剂,688235,百济神州,54.4,绿,无质押,267.62,4.54,0.145,1.1,4.33,96.4,11.65,4127.46360139,1,9.9,89.4529871532,22219533000.0,26.8363500983,3270593000.0,627.15,2.879539365357,43.3169410467,,不分配不转增,,"{'矛_盈利': 21, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 7.4, '治理面调整': 0}"
化学制剂,603676,卫信康,52.0,红,无质押、近一年有回购、近半年股东累计减持4.0%,9.04,3.67,0.018,7.9,0.6,20.38,2.55,39.3385996,74,9.31,59.1322337601,584287350.52,-0.32159321,142930218.81,-21.81,0.374759292033,21.5736576274,,不分配不转增,"{'分红年数': 9, '累计每10股派现': 16.24}","{'矛_盈利': 23, '盾_健康': 12, '股东回报': 6, '估值': 9, '资金共振': 5, '治理面调整': -3}"
化学制剂,600196,复星医药,49.0,黄,质押33%、近一年有回购、近半年小幅减持2.0%,23.05,4.63,1.077,13.54,1.65,18.16,1.26,615.53395941,5,3.53,49.6712480958,20441970386.0,4.7530901415,1721467719.58,1.15,0.907701391678,49.4515005042,,不分配不转增,"{'分红年数': 26, '累计每10股派现': 66.9}","{'矛_盈利': 13, '盾_健康': 16, '股东回报': 6, '估值': 10, '资金共振': 6, '治理面调整': -2}"
化学制剂,301507,民生健康,49.0,绿,无质押、近一年有回购,12.94,8.38,0.062,5.26,2.62,38.52,2.86,46.1381303,65,5.12,55.1650852813,535359197.26,15.7572746968,83394343.02,1.2,0.382899560272,17.677711633,,不分配不转增,"{'分红年数': 3, '累计每10股派现': 3.5}","{'矛_盈利': 18, '盾_健康': 13, '股东回报': 6, '估值': 6, '资金共振': 3, '治理面调整': 3}"
化学制剂,002422,科伦药业,40.0,红,质押9%低、近一年有回购、近半年股东累计减持3.9%,42.48,6.81,0.4,2.57,2.86,36.95,2.75,675.76385716,4,4.59,47.5696853624,8838531817.0,-2.6950013612,1127768264.0,12.71,1.471712073431,28.1124112801,0.296610169492,10派1.26元(含税),"{'分红年数': 16, '累计每10股派现': 61.4}","{'矛_盈利': 12, '盾_健康': 16, '股东回报': 8, '估值': 6, '资金共振': 1, '治理面调整': -3}"
化学制剂,600420,国药现代,39.0,红,无质押、近半年股东累计减持3.7%,8.37,2.95,0.17,18.52,0.83,20.59,0.82,112.25615432,32,1.99,29.6047082028,3940089215.23,-19.2219569941,275585057.48,-58.99,0.035996801111,17.7644528319,0.604594921403,"10派0.50元(含税,扣税后0.45元)","{'分红年数': 18, '累计每10股派现': 26.1}","{'矛_盈利': 8, '盾_健康': 13, '股东回报': 8, '估值': 10, '资金共振': 6, '治理面调整': -6}"
化学制剂,002940,昂利康,39.0,黄,质押11%低、近一年有回购、近半年小幅减持1.7%,23.76,2.59,0.078,4.14,4.32,41.88,2.9,47.93061699,63,3.33,39.0637381541,627033693.79,-13.4355788159,54926353.41,-16.68,0.686488420265,36.0860372174,,不分配不转增,"{'分红年数': 8, '累计每10股派现': 34.35}","{'矛_盈利': 8, '盾_健康': 15, '股东回报': 6, '估值': 6, '资金共振': 3, '治理面调整': 1}"
化学制剂,002294,信立泰,38.7,红,质押15%低、近一年有回购、近半年股东累计减持4.4%,31.39,3.26,0.212,4.78,1.27,51.96,4.08,349.94091034,9,4.3,75.0892939834,2479135760.18,16.3384970648,387091726.75,6.03,0.418318685433,21.5235822776,,不分配不转增,,"{'矛_盈利': 15, '盾_健康': 14, '股东回报': 3, '估值': 2, '资金共振': 7.7, '治理面调整': -3}"
化学制剂,900904,神奇B股,23.9,绿,无质押,0.457,3.39,0.0,0.0,0.96,60.67,0.72,2.44070734,99,0.94,43.9970606942,848131550.84,-11.7311041121,21965609.87,-33.05,0.184288723441,,,不分配不转增,,"{'矛_盈利': 8, '盾_健康': 4, '股东回报': 3, '估值': 5, '资金共振': 3.9, '治理面调整': 0}"
化学制剂,000153,丰原药业,23.2,红,无质押、近半年股东累计减持4.6%,6.3,5.18,0.067,7.12,3.31,31.0,1.35,29.27518789,88,3.3,22.3782210696,1671360364.24,-17.550978051,71286563.34,-6.54,0.180062243385,57.2647319094,,不分配不转增,,"{'矛_盈利': 4, '盾_健康': 7, '股东回报': 3, '估值': 7, '资金共振': 8.2, '治理面调整': -6}"
医药生物,688331,荣昌生物,80.8,绿,无质押、近一年有回购,125.0,8.85,1.042,7.89,3.02,12.12,8.49,705.59685375,9,78.38,95.7129613996,5853293736.77,433.1094682648,4662283356.3,1137.0570147088,7.464997392075,15.5695735468,,不分配不转增,,"{'矛_盈利': 36, '盾_健康': 19, '股东回报': 3, '估值': 12, '资金共振': 7.8, '治理面调整': 3}"
医药生物,300760,迈瑞医疗,66.0,黄,质押3%低、近一年有回购、近半年小幅减持1.8%,158.05,0.75,1.054,10.2,0.54,24.36,4.92,1915.2490007,3,12.01,60.8335255872,17746969604.0,5.9963299224,4796791800.0,-5.37,4.022451504159,25.472568909,0.786052009456,"10派13.30元(含税,扣税后11.97元)","{'分红年数': 8, '累计每10股派现': 320.3}","{'矛_盈利': 27, '盾_健康': 17, '股东回报': 8, '估值': 7, '资金共振': 6, '治理面调整': 1}"
医药生物,688266,泽璟制药-U,64.9,绿,无质押,119.37,6.77,0.59,8.62,2.19,57.47,18.37,315.98216163,21,45.7,94.6415800084,1205379571.43,220.8781295535,640011104.13,979.0933971189,3.054359312938,51.2090401913,,不分配不转增,,"{'矛_盈利': 34, '盾_健康': 16, '股东回报': 3, '估值': 5, '资金共振': 6.9, '治理面调整': 0}"
医药生物,688796,百奥赛图,62.4,绿,无质押,138.0,2.78,0.346,6.55,10.05,168.37,25.47,616.7198196,13,10.49,79.2966453083,941388593.84,51.6013388674,241094391.65,402.29,0.585278608034,33.3934502887,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 18, '股东回报': 3, '估值': 5, '资金共振': 7.4, '治理面调整': 0}"
医药生物,000963,华东医药,62.0,黄,质押8%低、近半年多笔零星减持,26.76,2.53,0.246,5.12,1.03,13.56,1.89,469.29998052,15,7.31,32.7993291744,22066646185.69,1.8072364671,1860757262.42,2.53,1.425196450357,35.5100682884,1.338432122371,"10派3.50元(含税,扣税后3.15元)","{'分红年数': 22, '累计每10股派现': 106.35}","{'矛_盈利': 16, '盾_健康': 20, '股东回报': 10, '估值': 12, '资金共振': 5, '治理面调整': -1}"
医药生物,300357,我武生物,57.0,黄,无质押、近半年小幅减持2.5%,20.19,3.8,0.194,8.35,2.39,25.33,3.84,105.7116096,58,7.87,95.2927573656,514164898.85,6.1805311763,213451780.13,20.59,0.361943543615,7.7094343861,,不分配不转增,"{'分红年数': 13, '累计每10股派现': 32.46}","{'矛_盈利': 22, '盾_健康': 15, '股东回报': 6, '估值': 11, '资金共振': 5, '治理面调整': -2}"
医药生物,301087,可孚医疗,56.0,黄,质押4%低、近一年有回购、近半年小幅减持1.0%,55.14,4.43,0.225,12.39,1.72,32.0,2.35,130.0736058,49,4.0,55.8878631902,2071847991.36,38.5143639768,202263774.19,20.84,1.112397850291,25.4072706138,1.088139281828,10派6.00元(含税),"{'分红年数': 5, '累计每10股派现': 76.0}","{'矛_盈利': 16, '盾_健康': 17, '股东回报': 10, '估值': 6, '资金共振': 6, '治理面调整': 1}"
医药生物,300015,爱尔眼科,54.0,黄,质押8%低、近一年有回购、近半年小幅减持2.3%,8.11,0.87,0.191,5.33,0.56,29.62,3.28,754.19469993,7,6.04,46.1176635603,11945704579.95,3.8113544558,1357026448.97,-33.83,0.313396113314,32.5578585687,,不分配不转增,"{'分红年数': 17, '累计每10股派现': 30.3}","{'矛_盈利': 19, '盾_健康': 14, '股东回报': 6, '估值': 9, '资金共振': 5, '治理面调整': 1}"
医药生物,600196,复星医药,49.0,黄,质押33%、近一年有回购、近半年小幅减持2.0%,23.05,4.63,1.077,13.54,1.65,18.16,1.26,615.53395941,14,3.53,49.6712480958,20441970386.0,4.7530901415,1721467719.58,1.15,0.907701391678,49.4515005042,,不分配不转增,"{'分红年数': 26, '累计每10股派现': 66.9}","{'矛_盈利': 13, '盾_健康': 16, '股东回报': 6, '估值': 10, '资金共振': 6, '治理面调整': -2}"
医药生物,688758,赛分科技,47.0,红,无质押、近一年有回购、近半年股东累计减持4.2%,32.9,0.3,0.171,3.51,5.01,74.66,9.87,137.01668364,45,7.97,75.3193909379,279738112.89,53.1696185826,110638217.52,106.19,0.207217372891,11.8155485123,,不分配不转增,"{'分红年数': 2, '累计每10股派现': 1.37}","{'矛_盈利': 23, '盾_健康': 15, '股东回报': 4, '估值': 5, '资金共振': 3, '治理面调整': -3}"
医药生物,600436,片仔癀,46.0,红,质押10%低、近半年股东累计减持4.4%,121.02,2.29,0.228,7.72,0.41,40.35,5.0,730.13448754,8,7.26,39.8280258643,4572843621.56,-14.979788971,1092974060.35,-24.22,2.692687437841,18.1795993173,0.884151379937,10派10.70元(含税),"{'分红年数': 23, '累计每10股派现': 214.2}","{'矛_盈利': 19, '盾_健康': 16, '股东回报': 8, '估值': 4, '资金共振': 5, '治理面调整': -6}"
医药生物,002422,科伦药业,40.0,红,质押9%低、近一年有回购、近半年股东累计减持3.9%,42.48,6.81,0.4,2.57,2.86,36.95,2.75,675.76385716,11,4.59,47.5696853624,8838531817.0,-2.6950013612,1127768264.0,12.71,1.471712073431,28.1124112801,0.296610169492,10派1.26元(含税),"{'分红年数': 16, '累计每10股派现': 61.4}","{'矛_盈利': 12, '盾_健康': 16, '股东回报': 8, '估值': 6, '资金共振': 1, '治理面调整': -3}"
医药生物,600161,天坛生物,39.0,绿,无质押,12.48,2.55,0.154,7.58,0.83,32.59,2.1,246.77595646,27,2.51,35.9929721914,2595368216.39,-16.5581890999,298910184.66,-52.75,0.146333920096,8.645877222,0.801282051282,"10派1.00元(含税,扣税后0.90元)",,"{'矛_盈利': 10, '盾_健康': 13, '股东回报': 5, '估值': 6, '资金共振': 5.0, '治理面调整': 0}"
医药生物,600420,国药现代,36.6,红,无质押、近半年股东累计减持3.7%,8.37,2.95,0.17,18.52,0.83,20.59,0.82,112.25615432,56,1.99,29.6047082028,3940089215.23,-19.2219569941,275585057.48,-58.99,0.035996801111,17.7644528319,0.604594921403,"10派0.50元(含税,扣税后0.45元)",,"{'矛_盈利': 8, '盾_健康': 13, '股东回报': 5, '估值': 10, '资金共振': 6.6, '治理面调整': -6}"
医药生物,002294,信立泰,35.5,红,质押15%低、近一年有回购、近半年股东累计减持4.4%,31.39,3.26,0.212,4.78,1.27,51.96,4.08,349.94091034,20,4.3,75.0892939834,2479135760.18,16.3384970648,387091726.75,6.03,0.418318685433,21.5235822776,,不分配不转增,,"{'矛_盈利': 15, '盾_健康': 14, '股东回报': 3, '估值': 2, '资金共振': 4.5, '治理面调整': -3}"
医药生物,600488,津药药业,34.8,绿,无质押,6.29,3.11,0.388,5.01,11.33,106.59,2.27,68.67967217,74,1.41,41.4660927615,1313057171.63,-17.3333214363,43173512.75,-12.43,0.175639383072,33.1343857278,,不分配不转增,,"{'矛_盈利': 8, '盾_健康': 12, '股东回报': 3, '估值': 4, '资金共振': 7.8, '治理面调整': 0}"
医药生物,603538,美诺华,34.8,红,无质押、近半年股东累计减持3.7%,27.9,4.85,0.24,1.67,15.39,81.15,3.23,94.83996445,62,2.42,29.2720489397,858817133.6,26.7946571868,63689139.09,29.83,0.103934357957,36.0720703535,,不分配不转增,,"{'矛_盈利': 14, '盾_健康': 15, '股东回报': 3, '估值': 4, '资金共振': 4.8, '治理面调整': -6}"
