所属板块,代码,名称,总分,治理评级,治理标签,现价,涨跌幅%,主力净流入亿,主力净占比%,换手%,PE_TTM,PB,总市值亿,市值板块排名,fin_roe,fin_gross_margin,fin_revenue,fin_rev_yoy,fin_netprofit,fin_np_yoy,fin_ocfps,fin_debt_ratio,fin_div_yield,fin_div_plan,分红,评分明细
半导体材料,688797,臻宝科技,58.0,绿,无质押,292.04,6.58,2.192,11.32,23.01,182.97,15.5,453.50978044,9,8.46,46.7283564718,483528515.21,31.9778888209,107114333.87,25.74,0.88209423131,12.4885935569,,不分配不转增,,"{'矛_盈利': 29, '盾_健康': 16, '股东回报': 3, '估值': 1, '资金共振': 9.0, '治理面调整': 0}"
半导体材料,920181,赛英电子,51.0,绿,无质押,70.68,5.01,0.035,8.15,6.18,31.9,3.85,30.53376,30,8.2,26.2051317786,321979285.9,11.444252908,51514332.19,17.44,0.171358745139,9.081961438,,不分配不转增,"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 22, '盾_健康': 15, '股东回报': 3, '估值': 6, '资金共振': 5, '治理面调整': 0}"
半导体材料,920012,创达新材,50.0,绿,无质押,49.87,4.88,0.037,9.24,4.22,35.57,2.9,24.59457741,31,5.35,31.6629558391,242934421.35,14.8802691639,36737712.59,10.72,0.520244255068,11.4424791432,1.363545217566,10派6.80元(含税),"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 16, '盾_健康': 16, '股东回报': 7, '估值': 6, '资金共振': 5, '治理面调整': 0}"
半导体材料,688138,清溢光电,49.0,绿,无质押、近一年有回购,37.7,2.75,0.229,7.95,2.44,55.66,4.14,118.6796,21,4.16,32.6444156577,653612607.06,5.0773056968,117952067.06,28.16,0.84666244676,32.7691449892,0.318302387268,10派1.20元(含税),"{'分红年数': 7, '累计每10股派现': 8.6}","{'矛_盈利': 13, '盾_健康': 18, '股东回报': 8, '估值': 2, '资金共振': 5, '治理面调整': 3}"
半导体材料,688727,恒坤新材,48.0,绿,无质押,47.18,5.31,0.101,6.16,6.51,151.13,8.2,211.98898728,15,3.3,52.4577086402,341381137.61,15.9829870372,84080210.24,102.11,0.051813436939,32.0399237945,,不分配不转增,,"{'矛_盈利': 20, '盾_健康': 15, '股东回报': 3, '估值': 3, '资金共振': 7.0, '治理面调整': 0}"
半导体材料,002409,雅克科技,43.0,红,无质押、近半年股东累计减持3.2%,137.11,2.96,2.129,7.61,6.47,62.84,8.33,652.54443931,7,7.07,29.8713460085,4512986271.44,5.1243028951,560905882.4,7.29,0.535411686248,33.1572791267,0.255269491649,"10派3.50元(含税,扣税后3.15元)","{'分红年数': 16, '累计每10股派现': 37.84}","{'矛_盈利': 16, '盾_健康': 19, '股东回报': 8, '估值': 1, '资金共振': 5, '治理面调整': -6}"
半导体材料,688720,艾森股份,39.0,黄,无质押、近一年有回购、近半年小幅减持2.5%,63.72,5.36,0.025,0.98,5.31,138.82,7.44,78.14492149,26,2.1,28.3989234854,346053290.79,23.6377418352,21835909.3,30.12,0.181013250293,24.2807766474,,不分配不转增,"{'分红年数': 2, '累计每10股派现': 3.05}","{'矛_盈利': 14, '盾_健康': 15, '股东回报': 4, '估值': 2, '资金共振': 3, '治理面调整': 1}"
半导体设备,301717,超纯应材,61.3,绿,无质押,363.66,5.06,0.566,4.18,21.54,156.06,14.66,370.37372364,13,12.51,57.533010036,306202649.8,48.4084715048,114112055.71,85.46,2.053212035827,22.0064562811,,不分配不转增,,"{'矛_盈利': 33, '盾_健康': 18, '股东回报': 3, '估值': 1, '资金共振': 6.3, '治理面调整': 0}"
半导体设备,688082,盛美上海,56.0,绿,无质押、近一年有回购,286.18,3.25,1.522,10.68,1.04,82.22,9.43,1388.73513741,5,7.06,46.858347291,3718097074.64,13.8672209019,988949356.41,42.14,0.182482318668,29.5539585733,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 22.72}","{'矛_盈利': 24, '盾_健康': 16, '股东回报': 6, '估值': 1, '资金共振': 6, '治理面调整': 3}"
半导体设备,688120,华海清科,47.0,黄,无质押、近一年有回购、近半年小幅减持2.8%,266.47,4.29,0.652,2.09,2.4,115.85,16.62,1322.44114784,6,7.24,42.9901302629,2643200448.43,35.5771025806,563222966.61,11.44,0.148186881195,45.0728298366,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 20.0}","{'矛_盈利': 24, '盾_健康': 12, '股东回报': 6, '估值': 1, '资金共振': 3, '治理面调整': 1}"
半导体设备,688419,耐科装备,43.0,绿,无质押、近一年有回购,51.79,6.48,0.014,0.7,3.47,67.48,5.7,59.32630938,24,4.7,39.5391882274,186991839.88,33.112740805,49232876.0,18.2,0.249908085058,17.9689882904,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 14.0}","{'矛_盈利': 18, '盾_健康': 13, '股东回报': 6, '估值': 2, '资金共振': 1, '治理面调整': 3}"
半导体设备,688652,京仪装备,34.0,绿,无质押,137.98,5.88,0.232,3.12,4.52,154.77,10.2,231.8064,16,4.09,30.2580075682,940765811.26,28.0572881938,91850215.13,2.05,1.198932561726,55.7386255874,,不分配不转增,"{'分红年数': 3, '累计每10股派现': 3.25}","{'矛_盈利': 13, '盾_健康': 11, '股东回报': 6, '估值': 1, '资金共振': 3, '治理面调整': 0}"
数字芯片设计,301536,星宸科技,73.0,黄,质押6%低、近一年有回购、近半年小幅减持2.3%,114.36,4.65,1.53,12.59,5.77,45.87,12.43,482.27353932,19,25.35,55.3621598071,2657812730.55,89.4320468794,862919114.88,619.5,0.878385572779,44.0907966348,0.524658971668,10派6.00元(含税),"{'分红年数': 3, '累计每10股派现': 6.0}","{'矛_盈利': 34, '盾_健康': 17, '股东回报': 8, '估值': 7, '资金共振': 6, '治理面调整': 1}"
数字芯片设计,688449,联芸科技,63.0,绿,无质押,62.8,6.13,0.141,3.29,2.37,47.7,11.88,288.88,27,23.84,49.8526212346,854109397.31,40.0818953052,519551700.5,825.54,0.292810378674,19.0096579657,,不分配不转增,"{'分红年数': 1, '累计每10股派现': 0.5}","{'矛_盈利': 36, '盾_健康': 15, '股东回报': 4, '估值': 7, '资金共振': 1, '治理面调整': 0}"
数字芯片设计,688380,中微半导,58.0,绿,无质押、近一年有回购,39.44,4.89,0.36,9.79,2.37,42.75,4.89,157.903956,35,5.26,38.746032871,725773748.57,44.0139092508,171622263.44,98.48,0.482644456084,14.8413264264,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 12.5}","{'矛_盈利': 21, '盾_健康': 15, '股东回报': 6, '估值': 8, '资金共振': 5, '治理面调整': 3}"
数字芯片设计,920138,杰理科技,57.0,绿,无质押,32.8,2.98,0.043,4.8,8.02,23.14,2.72,142.00924,38,6.95,32.2557392997,1457545207.23,6.1604380933,311164520.27,6.18,0.726664334113,9.3919294318,,不分配不转增,"{'分红年数': 0, '累计每10股派现': 0.0}","{'矛_盈利': 24, '盾_健康': 18, '股东回报': 3, '估值': 9, '资金共振': 3, '治理面调整': 0}"
数字芯片设计,300458,全志科技,52.0,红,无质押、近半年股东累计减持4.3%,30.18,2.86,0.707,7.8,3.73,50.73,8.61,299.87975193,26,14.78,43.1213120404,1888442625.74,41.233970607,490211272.38,204.17,0.226616493147,19.1458925937,,不分配不转增,"{'分红年数': 11, '累计每10股派现': 27.76}","{'矛_盈利': 27, '盾_健康': 15, '股东回报': 6, '估值': 5, '资金共振': 5, '治理面调整': -6}"
数字芯片设计,688049,炬芯科技,52.0,黄,无质押、近一年有回购、近半年小幅减持1.5%,39.99,2.83,0.164,9.84,2.39,31.71,3.33,70.388784,48,5.2,48.7073290282,576355052.66,28.329726777,108800920.32,19.07,0.063654424832,14.4414602932,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 9.9}","{'矛_盈利': 21, '盾_健康': 13, '股东回报': 6, '估值': 6, '资金共振': 5, '治理面调整': 1}"
数字芯片设计,688213,思特威-W,50.0,红,无质押、近一年有回购、近半年股东累计减持5.0%,92.34,0.0,0.082,1.6,1.73,32.79,6.88,371.49007604,24,9.84,24.5744772273,4599712948.79,21.4798765315,528428962.97,33.15,1.933847610073,50.8488145736,,不分配不转增,"{'分红年数': 3, '累计每10股派现': 13.2}","{'矛_盈利': 19, '盾_健康': 17, '股东回报': 6, '估值': 8, '资金共振': 3, '治理面调整': -3}"
数字芯片设计,603501,豪威集团,33.0,红,质押21%、近一年有回购、近半年股东累计减持4.3%,78.4,1.14,0.169,2.32,0.78,30.46,3.04,986.11376136,12,3.73,28.7771546834,14024560916.08,0.4925959227,1219762603.08,-39.85,0.323365797213,34.860098935,,不分配不转增,"{'分红年数': 9, '累计每10股派现': 22.74}","{'矛_盈利': 10, '盾_健康': 14, '股东回报': 6, '估值': 6, '资金共振': 3, '治理面调整': -6}"
机械设备,688257,新锐股份,71.0,绿,质押2%低、近一年有回购,55.93,4.41,0.281,3.24,4.44,28.78,6.91,198.69875194,37,21.51,49.1420313319,2057232334.56,80.3947563439,565140212.86,460.51,0.24312898221,49.1890036174,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 20.5}","{'矛_盈利': 34, '盾_健康': 14, '股东回报': 6, '估值': 11, '资金共振': 3, '治理面调整': 3}"
机械设备,688835,高凯技术,59.9,绿,无质押,333.0,8.16,2.82,22.09,21.3,180.45,14.91,332.83585764,22,13.43,57.6870164616,327225507.59,35.4580007504,106153706.42,95.0669283072,1.708491638765,22.062631288,,,,"{'矛_盈利': 31, '盾_健康': 18, '股东回报': 0, '估值': 1, '资金共振': 9.9, '治理面调整': 0}"
机械设备,300488,恒锋工具,59.0,黄,无质押、近一年有回购、近半年多笔零星减持,36.65,7.7,0.349,14.45,4.2,34.93,3.17,70.0824221,75,5.34,46.9323846454,383665393.78,13.6357658304,106759722.16,41.33,0.414886315791,9.6150668847,0.272851296044,10派1.00元(含税),"{'分红年数': 11, '累计每10股派现': 25.87}","{'矛_盈利': 20, '盾_健康': 15, '股东回报': 8, '估值': 10, '资金共振': 4, '治理面调整': 2}"
机械设备,688630,芯碁微装,55.0,红,无质押、近一年有回购、近半年股东累计减持4.5%,433.0,4.9,2.151,10.24,3.73,147.76,12.08,634.36715228,12,11.62,43.0430986217,1105502942.02,68.951037133,281409728.1,98.13,2.01636539878,19.1133451189,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 20.7}","{'矛_盈利': 27, '盾_健康': 18, '股东回报': 6, '估值': 1, '资金共振': 6, '治理面调整': -3}"
机械设备,301603,乔锋智能,54.0,红,无质押、近半年股东累计减持2.1%,123.8,3.76,0.165,9.04,3.95,33.56,5.62,149.50088,44,10.74,30.7639439762,1727766956.38,42.3767631865,273286547.02,52.69,0.596253051673,43.496194086,,不分配不转增,"{'分红年数': 3, '累计每10股派现': 12.0}","{'矛_盈利': 25, '盾_健康': 16, '股东回报': 6, '估值': 8, '资金共振': 5, '治理面调整': -6}"
机械设备,300124,汇川技术,53.0,黄,质押2%低、近一年有回购、近半年多笔零星减持,51.44,-0.21,0.075,0.33,1.85,28.5,3.78,1393.76782931,3,7.69,29.7416847059,24675250997.63,20.3121582778,2809924122.46,-5.35,0.729430692143,48.035175277,,不分配不转增,"{'分红年数': 16, '累计每10股派现': 77.29}","{'矛_盈利': 19, '盾_健康': 15, '股东回报': 6, '估值': 9, '资金共振': 2, '治理面调整': 2}"
机械设备,002975,博杰股份,49.0,黄,质押5%低、近一年有回购、近半年小幅减持2.9%,105.42,6.38,0.427,3.36,8.92,73.84,8.88,219.41142189,31,7.19,49.3459165415,1121662766.29,66.8401805729,171014100.87,746.94,0.475722572134,29.1572224734,,不分配不转增,"{'分红年数': 5, '累计每10股派现': 20.24}","{'矛_盈利': 21, '盾_健康': 15, '股东回报': 6, '估值': 5, '资金共振': 1, '治理面调整': 1}"
机械设备,688328,深科达,47.0,黄,无质押、近半年小幅减持1.2%,82.82,3.07,0.145,3.34,5.61,119.87,8.91,78.22870352,72,7.12,38.6921876664,435189073.52,21.0306489102,61447386.94,198.23,1.493431747032,43.9366150591,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 7.7}","{'矛_盈利': 19, '盾_健康': 16, '股东回报': 6, '估值': 5, '资金共振': 3, '治理面调整': -2}"
机械设备,688531,日联科技,43.0,黄,无质押、近一年有回购、近半年小幅减持2.0%,143.85,5.84,0.194,4.13,2.89,107.65,6.95,238.20688125,29,3.72,44.984212611,715401975.65,55.3899509991,128022734.82,54.63,0.21430608677,21.9811541598,,不分配不转增,"{'分红年数': 4, '累计每10股派现': 25.0}","{'矛_盈利': 18, '盾_健康': 13, '股东回报': 6, '估值': 2, '资金共振': 3, '治理面调整': 1}"
机械设备,300990,同飞股份,42.0,绿,无质押,89.9,4.47,0.781,11.54,9.26,60.13,7.03,153.92371441,41,5.98,22.129179875,1608038508.84,27.2671840119,127956578.93,2.45,1.409387155941,25.6426644864,,不分配不转增,"{'分红年数': 6, '累计每10股派现': 41.0}","{'矛_盈利': 12, '盾_健康': 16, '股东回报': 6, '估值': 2, '资金共振': 6, '治理面调整': 0}"
机械设备,601608,中信重工,38.0,绿,质押2%低,4.73,0.21,0.088,5.75,0.71,56.79,2.35,216.61287757,32,2.25,19.8702958584,4025428097.29,1.1076819463,209240237.58,2.95,0.142827187794,53.8350307387,,不分配不转增,"{'分红年数': 13, '累计每10股派现': 3.5}","{'矛_盈利': 9, '盾_健康': 14, '股东回报': 6, '估值': 4, '资金共振': 5, '治理面调整': 0}"
